Referred a Friend,Number of Referrals,Tenure in Months,Phone Service,Avg Monthly Long Distance Charges,Multiple Lines,Internet Service,Avg Monthly GB Download,Online Security,Online Backup,Device Protection Plan,Premium Tech Support,Streaming TV,Streaming Movies,Streaming Music,Unlimited Data,Paperless Billing,Monthly Charge,Total Charges,Total Refunds,Total Extra Data Charges,Total Long Distance Charges,Offer_Offer A,Offer_Offer B,Offer_Offer C,Offer_Offer D,Offer_Offer E,Internet Type_DSL,Internet Type_Fiber Optic,Contract_One Year,Contract_Two Year,Payment Method_Credit Card,Payment Method_Mailed Check,Gender,Age,Under 30,Senior Citizen,Married,Dependents,Number of Dependents,Churn Category_Attitude,Churn Category_Competitor,Churn Category_Dissatisfaction,Churn Category_Other,Churn Category_Price,Churn Reason_Attitude of service provider,Churn Reason_Attitude of support person,Churn Reason_Competitor had better devices,Churn Reason_Competitor made better offer,Churn Reason_Competitor offered higher download speeds,Churn Reason_Competitor offered more data,Churn Reason_Deceased,Churn Reason_Don't know,Churn Reason_Extra data charges,Churn Reason_Lack of affordable download/upload speed,Churn Reason_Lack of self-service on Website,Churn Reason_Limited range of services,Churn Reason_Long distance charges,Churn Reason_Moved,Churn Reason_Network reliability,Churn Reason_Poor expertise of online support,Churn Reason_Poor expertise of phone support,Churn Reason_Price too high,Churn Reason_Product dissatisfaction,Churn Reason_Service dissatisfaction,Zip Code,Latitude,Longitude,Population,GeoFIPS,Per capita personal income (dollars),Personal income (thousands of dollars),Farm proprietors' income,Farm proprietors employment,Per capita income maintenance benefits,Per capita retirement and other,Per capita unemployment insurance compensation,Average nonfarm proprietors' income,Average wages and salaries,Churn Value
1.0,0.6826236648551878,-0.9939038347977083,1.0,-0.05324424144883046,0.0,1.0,3.0106471699988093,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0006519610836588,-0.6711383467216114,-0.24809596316404026,-0.27322911462029525,-0.6758655760773015,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,-1.2317501165209956,1.0,0.0,1.0,1.0,2.6284456267095706,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.6210353865780569,-0.5073736417609984,2.0736737378192887,-1.0419269238659465,0.5138060749013648,-0.823751625752865,-0.4042196940662313,-0.12420821837306294,-0.35753296120400313,0.3135206942480375,-0.9671298427137861,-0.31578472142380887,-0.7740722713480391,-0.5445804412105903,0
0.0,-0.6503364508021163,-0.5863915680459364,1.0,0.21344854114774772,0.0,0.0,-1.0045646889647335,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.5012731879714796,-0.834804374990648,-0.24809596316404026,-0.27322911462029525,-0.32680597259110494,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.055909215571331,0.0,0.0,0.0,0.0,-0.48700600661025445,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1270714108451007,0.21725745758577053,-0.0127517129692156,-0.723587258965106,-1.323866486990337,-0.779191707183223,-0.6227052495309011,2.6798736014593625,2.2381631217395754,1.4863217898197263,-0.13440613585343975,1.1634137788937444,-0.00036926938983970975,-0.6973102827774724,0
0.0,-0.6503364508021163,0.2693841921327846,1.0,-1.3847662166943673,0.0,0.0,-1.0045646889647335,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.497923890583186,-0.6418200893325361,3.03783866878539,-0.27322911462029525,-0.8127329378583791,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,-0.990943871037593,0.0,0.0,0.0,0.0,-0.48700600661025445,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.6598141406561471,-1.0132922696044493,1.5516781326600353,0.33984594212648794,0.30176693314462993,-0.7490205660719563,-0.33064990201727623,0.19547076035638816,0.6094095578425637,-0.3365351761592965,-1.0681885450026631,-0.25889247141159527,-0.9747059429246279,-0.6259693699403105,0
0.0,-0.6503364508021163,-1.1976599681735942,1.0,-1.1530283133701564,0.0,0.0,-1.0045646889647335,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.5046224853597727,-0.9805353067530491,-0.24809596316404026,-0.27322911462029525,-0.8667996202497651,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,-0.5093313800707873,0.0,0.0,0.0,1.0,2.6284456267095706,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1751749585668174,1.0277242762184808,-0.48212916244015597,0.5670760668128743,-1.3945462009092484,0.3187103365111704,-0.7593712654376702,-0.6790934328647025,-0.283536500159167,-1.4553256949612365,0.3658344404765013,-0.7424765965154108,0.14656142969210745,-0.37268493970049577,0
1.0,1.0158636937695138,1.6141746724136319,1.0,-0.9245269729415347,1.0,0.0,-1.0045646889647335,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.3589280489690119,-0.22148143147592173,-0.24809596316404026,-0.27322911462029525,-0.14696162146484293,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.1161107769421816,0.0,1.0,1.0,0.0,-0.48700600661025445,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2277884526868073,0.17337036870121836,-0.8628818462058924,-0.43144099586956275,-0.12231135036883967,-0.27143857721139897,-0.7117203833340583,2.3748790079862285,-0.4614605750310202,-0.39633260044008983,-0.8468699869900225,1.4763211539609191,2.1513931949013605,-0.6139117508692408,0
1.0,-0.31709642188779025,1.6141746724136319,1.0,1.401267123829109,1.0,1.0,1.5906332198775563,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.1733755061751994,1.845334382312697,-0.24809596316404026,-0.27322911462029525,2.9082665279283457,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.7549014087170774,0.0,0.0,1.0,1.0,2.6284456267095706,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.006595097088453,0.5843474637153832,-0.5608171655830816,0.23559242050071147,1.5033220697661271,-0.762956428017114,-0.7119747323242231,1.7695653363696178,1.4225392084251451,0.17077845564227281,-0.2925630049355322,0.4238145287349678,-0.3949831469242121,-0.5431662760108971,0
1.0,1.3491037226838398,-0.5456403413707592,1.0,1.5501490170262275,0.0,0.0,-1.0045646889647335,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.4962492418890392,-0.8376281048219508,-0.24809596316404026,-0.27322911462029525,0.16757703125026963,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.03248267226686899,0.0,0.0,1.0,1.0,1.5899617489362956,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.4519169312930522,-1.024714026651079,0.8292116377356725,1.6247883263549359,0.08972779138789513,0.37065626191174605,0.19316726924541086,-0.5234901634799638,-0.9470103868308439,-0.834204062109125,-1.127307885841656,-0.7993688465276244,0.16747232163692366,0.14166182937744703,0
0.0,-0.6503364508021163,-0.9531526081225311,1.0,-0.48111785624576775,0.0,1.0,-0.3190407130441286,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.9772068793656052,-0.6481514210636606,-0.24809596316404026,-0.27322911462029525,-0.7199763359575607,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,-0.3889282573290859,0.0,0.0,0.0,0.0,-0.48700600661025445,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.6248055432245379,-0.7890856089402273,1.1444207636608272,-0.551675329427091,0.5138060749013648,-0.823751625752865,-0.4042196940662313,-0.12420821837306294,-0.35753296120400313,0.3135206942480375,-0.9671298427137861,-0.31578472142380887,-0.7740722713480391,-0.5445804412105903,1
0.0,-0.6503364508021163,-0.12999094327525645,1.0,0.7793164751784885,0.0,1.0,-0.11339927782245673,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.46492078592322833,0.00807163470439548,-0.24809596316404026,1.2647070709501413,0.3137713073142698,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,-0.02771888910398171,0.0,0.0,0.0,0.0,-0.48700600661025445,0.0,0.13848629277310642,0.0,0.0,0.8615137072268936,0.0,0.0,0.0,0.0,0.0,0.13848629277310642,0.0,0.0,0.0,0.0,0.0,0.0,0.8615137072268936,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.391563044766892,1.7658931264799753,-1.3731292661965866,-0.8849859351223401,1.764302069297331,-1.2177671480458245,-0.8161520879340786,-0.559180324123071,-0.906389926087766,0.027856035688587633,1.2820918734645477,-1.0400386607788759,-1.1337147618045462,-0.7011766213179038,1
1.0,2.6820638383411444,-0.5456403413707592,1.0,-0.87338927919122,1.0,1.0,-0.36800671132417184,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.4948093227893253,-0.6045600917929213,-0.24809596316404026,4.506045446105963,-0.6725469352402592,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.2732889177502718,0.0,0.0,1.0,1.0,1.5899617489362956,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.8705730179831868,-0.86287582983728,0.7042702602672902,0.3992302610208078,-0.6877490617201325,0.04278026999704624,1.9538628416331538,-0.47655840903779567,-0.39660974400296156,1.30307161863665,0.3668450274993901,0.679829653789929,-0.36765641313269093,0.21739409730839368,0
